flink-identity-1  | Resuming from checkpoint: /tmp/flink-checkpoints/26831ffb727992ac5c0687c7993a6b13/chk-279
flink-identity-1  | [flink-pekko.actor.default-dispatcher-4] INFO org.apache.flink.runtime.filecache.FileCache - User file cache uses directory /tmp/flink-dist-cache-6346091b-9183-40fe-8d0a-9853f1e2916a
flink-identity-1  | [main] INFO org.apache.flink.runtime.dispatcher.DispatcherRestEndpoint - Upload directory /tmp/flink-web-upload does not exist. 
flink-identity-1  | [main] INFO org.apache.flink.runtime.dispatcher.DispatcherRestEndpoint - Created directory /tmp/flink-web-upload for file uploads.
flink-identity-1  | [main] INFO org.apache.flink.runtime.dispatcher.DispatcherRestEndpoint - Starting rest endpoint.
flink-identity-1  | [main] INFO org.apache.flink.runtime.dispatcher.DispatcherRestEndpoint - Failed to load web based job submission extension. Probable reason: flink-runtime-web is not in the classpath.
flink-identity-1  | [main] WARN org.apache.flink.runtime.webmonitor.WebMonitorUtils - Log file environment variable 'log.file' is not set.
flink-identity-1  | [main] WARN org.apache.flink.runtime.webmonitor.WebMonitorUtils - JobManager log files are unavailable in the web dashboard. Log file location not found in environment variable 'log.file' or configuration key 'web.log.path'.
flink-identity-1  | [main] INFO org.apache.flink.runtime.dispatcher.DispatcherRestEndpoint - Rest endpoint listening at localhost:39929
flink-identity-1  | [main] INFO org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService - Proposing leadership to the contender that is registered under component ID 'rest_server'.
flink-identity-1  | [mini-cluster-io-thread-1] INFO org.apache.flink.runtime.dispatcher.DispatcherRestEndpoint - http://localhost:39929 was granted leadership with leaderSessionID=abb2d914-6f14-4801-9c74-16aad3e3be88
flink-identity-1  | [mini-cluster-io-thread-1] INFO org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader http://localhost:39929 , session=abb2d914-6f14-4801-9c74-16aad3e3be88
flink-identity-1  | [main] INFO org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService - Proposing leadership to the contender that is registered under component ID 'dispatcher'.
flink-identity-1  | [main] INFO org.apache.flink.runtime.resourcemanager.ResourceManagerServiceImpl - Starting resource manager service.
flink-identity-1  | [main] INFO org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService - Proposing leadership to the contender that is registered under component ID 'resource_manager'.
flink-identity-1  | [mini-cluster-io-thread-2] INFO org.apache.flink.runtime.dispatcher.runner.DefaultDispatcherRunner - DefaultDispatcherRunner was granted leadership with leader id 2e687caa-94ee-4155-9fd6-81d65ae50f3b. Creating new DispatcherLeaderProcess.
flink-identity-1  | [pool-2-thread-1] INFO org.apache.flink.runtime.resourcemanager.ResourceManagerServiceImpl - Resource manager service is granted leadership with session id 60a2c4a6-9d30-4099-ba40-69bbbf050741.
flink-identity-1  | [main] INFO org.apache.flink.runtime.minicluster.MiniCluster - Flink Mini Cluster started successfully
flink-identity-1  | [mini-cluster-io-thread-2] INFO org.apache.flink.runtime.dispatcher.runner.SessionDispatcherLeaderProcess - Start SessionDispatcherLeaderProcess.
flink-identity-1  | [mini-cluster-io-thread-1] INFO org.apache.flink.runtime.dispatcher.runner.SessionDispatcherLeaderProcess - Recover all persisted job graphs that are not finished, yet.
flink-identity-1  | [mini-cluster-io-thread-1] INFO org.apache.flink.runtime.dispatcher.runner.SessionDispatcherLeaderProcess - Successfully recovered 0 persisted job graphs.
flink-identity-1  | [pool-2-thread-1] INFO org.apache.flink.runtime.rpc.pekko.PekkoRpcService - Starting RPC endpoint for org.apache.flink.runtime.resourcemanager.StandaloneResourceManager at pekko://flink/user/rpc/resourcemanager_1 .
flink-identity-1  | [mini-cluster-io-thread-1] INFO org.apache.flink.runtime.rpc.pekko.PekkoRpcService - Starting RPC endpoint for org.apache.flink.runtime.dispatcher.StandaloneDispatcher at pekko://flink/user/rpc/dispatcher_2 .
flink-identity-1  | [flink-pekko.actor.default-dispatcher-4] INFO org.apache.flink.runtime.resourcemanager.StandaloneResourceManager - Starting the resource manager.
flink-identity-1  | [flink-pekko.actor.default-dispatcher-4] INFO org.apache.flink.runtime.resourcemanager.slotmanager.FineGrainedSlotManager - Starting the slot manager.
flink-identity-1  | [flink-pekko.actor.default-dispatcher-4] INFO org.apache.flink.runtime.security.token.DefaultDelegationTokenManager - Starting tokens update task
flink-identity-1  | [flink-pekko.actor.default-dispatcher-4] WARN org.apache.flink.runtime.security.token.DefaultDelegationTokenManager - No tokens obtained so skipping notifications
flink-identity-1  | [flink-pekko.actor.default-dispatcher-4] WARN org.apache.flink.runtime.security.token.DefaultDelegationTokenManager - Tokens update task not started because either no tokens obtained or none of the tokens specified its renewal date
flink-identity-1  | [mini-cluster-io-thread-4] INFO org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader pekko://flink/user/rpc/resourcemanager_1 , session=60a2c4a6-9d30-4099-ba40-69bbbf050741
flink-identity-1  | [flink-pekko.actor.default-dispatcher-4] INFO org.apache.flink.runtime.taskexecutor.TaskExecutor - Connecting to ResourceManager pekko://flink/user/rpc/resourcemanager_1(ba4069bbbf05074160a2c4a69d304099).
flink-identity-1  | [mini-cluster-io-thread-1] INFO org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader pekko://flink/user/rpc/dispatcher_2 , session=2e687caa-94ee-4155-9fd6-81d65ae50f3b
flink-identity-1  | [flink-pekko.actor.default-dispatcher-7] INFO org.apache.flink.runtime.taskexecutor.TaskExecutor - Resolved ResourceManager address, beginning registration
flink-identity-1  | [flink-pekko.actor.default-dispatcher-6] INFO org.apache.flink.runtime.resourcemanager.StandaloneResourceManager - Registering TaskManager with ResourceID b8b34684-f593-463b-ae37-0c7b6db7c53f (pekko://flink/user/rpc/taskmanager_0) at ResourceManager
flink-identity-1  | [flink-pekko.actor.default-dispatcher-7] INFO org.apache.flink.runtime.taskexecutor.TaskExecutor - Successful registration at resource manager pekko://flink/user/rpc/resourcemanager_1 under registration id 1eaf89b12b22b669e219574d956ed153.
flink-identity-1  | [flink-pekko.actor.default-dispatcher-8] INFO org.apache.flink.runtime.resourcemanager.slotmanager.FineGrainedSlotManager - Registering task executor b8b34684-f593-463b-ae37-0c7b6db7c53f under 1eaf89b12b22b669e219574d956ed153 at the slot manager.
flink-identity-1  | [flink-pekko.actor.default-dispatcher-6] INFO org.apache.flink.runtime.dispatcher.StandaloneDispatcher - Received job submission 'stream-state-bench-flink-identity' (6aa832ae04026d2d3cf31b5d0d655ba6).
flink-identity-1  | [flink-pekko.actor.default-dispatcher-6] INFO org.apache.flink.runtime.dispatcher.StandaloneDispatcher - Submitting job 'stream-state-bench-flink-identity' (6aa832ae04026d2d3cf31b5d0d655ba6).
flink-identity-1  | [flink-pekko.actor.default-dispatcher-6] INFO org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService - Proposing leadership to the contender that is registered under component ID 'job-6aa832ae04026d2d3cf31b5d0d655ba6'.
flink-identity-1  | [mini-cluster-io-thread-2] INFO org.apache.flink.runtime.jobmaster.JobMasterServiceLeadershipRunner - JobMasterServiceLeadershipRunner for job 6aa832ae04026d2d3cf31b5d0d655ba6 was granted leadership with leader id e049d6ad-084b-4fc6-acf6-0840478389e9. Creating new JobMasterServiceProcess.
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.rpc.pekko.PekkoRpcService - Starting RPC endpoint for org.apache.flink.runtime.jobmaster.JobMaster at pekko://flink/user/rpc/jobmanager_3 .
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.jobmaster.JobMaster - Initializing job 'stream-state-bench-flink-identity' (6aa832ae04026d2d3cf31b5d0d655ba6).
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.jobmaster.JobMaster - Using restart back off time strategy ExponentialDelayRestartBackoffTimeStrategy(initialBackoffMS=1000, maxBackoffMS=60000, backoffMultiplier=1.5, resetBackoffThresholdMS=3600000, jitterFactor=0.1, attemptsBeforeResetBackoff=2147483647, currentRestartAttempt=0, nextRestartTimestamp=-2147483648) for stream-state-bench-flink-identity (6aa832ae04026d2d3cf31b5d0d655ba6).
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.executiongraph.ExecutionGraph - Created execution graph 0bd00382a86500dc0438ee5869316b44 for job 6aa832ae04026d2d3cf31b5d0d655ba6.
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.jobmaster.JobMaster - Running initialization on master for job stream-state-bench-flink-identity (6aa832ae04026d2d3cf31b5d0d655ba6).
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.jobmaster.JobMaster - Successfully ran initialization on master in 0 ms.
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.scheduler.adapter.DefaultExecutionTopology - Built 1 new pipelined regions in 2 ms, total 1 pipelined regions currently.
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.jobmaster.JobMaster - State backend is set to heap memory org.apache.flink.runtime.state.hashmap.HashMapStateBackend@15ebdf14
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.state.StateBackendLoader - State backend loader loads the state backend as HashMapStateBackend
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.jobmaster.JobMaster - Checkpoint storage is set to 'filesystem': (checkpoints "file:/tmp/flink-checkpoints")
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.core.fs.FileSystem - Hadoop is not in the classpath/dependencies. The extended set of supported File Systems via Hadoop is not available.
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.checkpoint.CheckpointCoordinator - No checkpoint found during restore.
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.checkpoint.CheckpointCoordinator - Starting job 6aa832ae04026d2d3cf31b5d0d655ba6 from savepoint file:///tmp/flink-checkpoints/26831ffb727992ac5c0687c7993a6b13/chk-279 ()
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.checkpoint.CheckpointCoordinator - Reset the checkpoint ID of job 6aa832ae04026d2d3cf31b5d0d655ba6 to 280.
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.checkpoint.CheckpointCoordinator - Restoring job 6aa832ae04026d2d3cf31b5d0d655ba6 from Savepoint 279 @ 0 for 6aa832ae04026d2d3cf31b5d0d655ba6 located at file:/tmp/flink-checkpoints/26831ffb727992ac5c0687c7993a6b13/chk-279.
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.checkpoint.CheckpointCoordinator - No master state to restore
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.operators.coordination.RecreateOnResetOperatorCoordinator - Resetting coordinator to checkpoint.
flink-identity-1  | [Thread-6] INFO org.apache.flink.runtime.source.coordinator.SourceCoordinator - Closing SourceCoordinator for source Source: kafka-source.
flink-identity-1  | [Thread-6] INFO org.apache.flink.runtime.source.coordinator.SourceCoordinator - Source coordinator for source Source: kafka-source closed.
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.source.coordinator.SourceCoordinator - Restoring SplitEnumerator of source Source: kafka-source from checkpoint.
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.jobmaster.JobMaster - Using failover strategy org.apache.flink.runtime.executiongraph.failover.RestartPipelinedRegionFailoverStrategy@323b438d for stream-state-bench-flink-identity (6aa832ae04026d2d3cf31b5d0d655ba6).
flink-identity-1  | [jobmanager-io-thread-1] INFO org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader pekko://flink/user/rpc/jobmanager_3 , session=e049d6ad-084b-4fc6-acf6-0840478389e9
flink-identity-1  | [flink-pekko.actor.default-dispatcher-7] INFO org.apache.flink.runtime.jobmaster.JobMaster - Starting execution of job 'stream-state-bench-flink-identity' (6aa832ae04026d2d3cf31b5d0d655ba6) under job master id acf60840478389e9e049d6ad084b4fc6.
flink-identity-1  | [flink-pekko.actor.default-dispatcher-7] INFO org.apache.flink.runtime.source.coordinator.SourceCoordinator - Starting split enumerator for source Source: kafka-source.
flink-identity-1  | [flink-pekko.actor.default-dispatcher-7] INFO org.apache.flink.runtime.jobmaster.JobMaster - Starting scheduling with scheduling strategy [org.apache.flink.runtime.scheduler.strategy.PipelinedRegionSchedulingStrategy]
flink-identity-1  | [flink-pekko.actor.default-dispatcher-7] INFO org.apache.flink.runtime.executiongraph.ExecutionGraph - Job stream-state-bench-flink-identity (6aa832ae04026d2d3cf31b5d0d655ba6) switched from state CREATED to RUNNING.
flink-identity-1  | [flink-pekko.actor.default-dispatcher-7] INFO org.apache.flink.runtime.executiongraph.ExecutionGraph - Source: kafka-source -> Flat Map -> kafka-sink: Writer -> kafka-sink: Committer (1/1) (0bd00382a86500dc0438ee5869316b44_cbc357ccb763df2852fee8c4fc7d55f2_0_0) switched from CREATED to SCHEDULED.
flink-identity-1  | [SourceCoordinator-Source: kafka-source] INFO org.apache.kafka.common.config.AbstractConfig - AdminClientConfig values: 
flink-identity-1  | 	bootstrap.controllers = []
flink-identity-1  | 	bootstrap.servers = [kafka:9092]
flink-identity-1  | 	client.dns.lookup = use_all_dns_ips
flink-identity-1  | 	client.id = stream-state-bench-flink-identity-latency-failure_jvm_kill-enumerator-admin-client
flink-identity-1  | 	config.providers = []
flink-identity-1  | 	connections.max.idle.ms = 300000
flink-identity-1  | 	default.api.timeout.ms = 60000
flink-identity-1  | 	enable.metrics.push = false
flink-identity-1  | 	metadata.max.age.ms = 300000
flink-identity-1  | 	metadata.recovery.rebootstrap.trigger.ms = 300000
flink-identity-1  | 	metadata.recovery.strategy = rebootstrap
flink-identity-1  | 	metric.reporters = [org.apache.kafka.common.metrics.JmxReporter]
flink-identity-1  | 	metrics.num.samples = 2
flink-identity-1  | 	metrics.recording.level = INFO
flink-identity-1  | 	metrics.sample.window.ms = 30000
flink-identity-1  | 	receive.buffer.bytes = 65536
flink-identity-1  | 	reconnect.backoff.max.ms = 1000
flink-identity-1  | 	reconnect.backoff.ms = 50
flink-identity-1  | 	request.timeout.ms = 30000
flink-identity-1  | 	retries = 2147483647
flink-identity-1  | 	retry.backoff.max.ms = 1000
flink-identity-1  | 	retry.backoff.ms = 100
flink-identity-1  | 	sasl.client.callback.handler.class = null
flink-identity-1  | 	sasl.jaas.config = null
flink-identity-1  | 	sasl.kerberos.kinit.cmd = /usr/bin/kinit
flink-identity-1  | 	sasl.kerberos.min.time.before.relogin = 60000
flink-identity-1  | 	sasl.kerberos.service.name = null
flink-identity-1  | 	sasl.kerberos.ticket.renew.jitter = 0.05
flink-identity-1  | 	sasl.kerberos.ticket.renew.window.factor = 0.8
flink-identity-1  | 	sasl.login.callback.handler.class = null
flink-identity-1  | 	sasl.login.class = null
flink-identity-1  | 	sasl.login.connect.timeout.ms = null
flink-identity-1  | 	sasl.login.read.timeout.ms = null
flink-identity-1  | 	sasl.login.refresh.buffer.seconds = 300
flink-identity-1  | 	sasl.login.refresh.min.period.seconds = 60
flink-identity-1  | 	sasl.login.refresh.window.factor = 0.8
flink-identity-1  | 	sasl.login.refresh.window.jitter = 0.05
flink-identity-1  | 	sasl.login.retry.backoff.max.ms = 10000
flink-identity-1  | 	sasl.login.retry.backoff.ms = 100
flink-identity-1  | 	sasl.mechanism = GSSAPI
flink-identity-1  | 	sasl.oauthbearer.assertion.algorithm = RS256
flink-identity-1  | 	sasl.oauthbearer.assertion.claim.aud = null
flink-identity-1  | 	sasl.oauthbearer.assertion.claim.exp.seconds = 300
flink-identity-1  | 	sasl.oauthbearer.assertion.claim.iss = null
flink-identity-1  | 	sasl.oauthbearer.assertion.claim.jti.include = false
flink-identity-1  | 	sasl.oauthbearer.assertion.claim.nbf.seconds = 60
flink-identity-1  | 	sasl.oauthbearer.assertion.claim.sub = null
flink-identity-1  | 	sasl.oauthbearer.assertion.file = null
flink-identity-1  | 	sasl.oauthbearer.assertion.private.key.file = null
flink-identity-1  | 	sasl.oauthbearer.assertion.private.key.passphrase = null
flink-identity-1  | 	sasl.oauthbearer.assertion.template.file = null
flink-identity-1  | 	sasl.oauthbearer.client.credentials.client.id = null
flink-identity-1  | 	sasl.oauthbearer.client.credentials.client.secret = null
flink-identity-1  | 	sasl.oauthbearer.clock.skew.seconds = 30
flink-identity-1  | 	sasl.oauthbearer.expected.audience = []
flink-identity-1  | 	sasl.oauthbearer.expected.issuer = null
flink-identity-1  | 	sasl.oauthbearer.header.urlencode = false
flink-identity-1  | 	sasl.oauthbearer.jwks.endpoint.refresh.ms = 3600000
flink-identity-1  | 	sasl.oauthbearer.jwks.endpoint.retry.backoff.max.ms = 10000
flink-identity-1  | 	sasl.oauthbearer.jwks.endpoint.retry.backoff.ms = 100
flink-identity-1  | 	sasl.oauthbearer.jwks.endpoint.url = null
flink-identity-1  | 	sasl.oauthbearer.jwt.retriever.class = class org.apache.kafka.common.security.oauthbearer.DefaultJwtRetriever
flink-identity-1  | 	sasl.oauthbearer.jwt.validator.class = class org.apache.kafka.common.security.oauthbearer.DefaultJwtValidator
flink-identity-1  | 	sasl.oauthbearer.scope = null
flink-identity-1  | 	sasl.oauthbearer.scope.claim.name = scope
flink-identity-1  | 	sasl.oauthbearer.sub.claim.name = sub
flink-identity-1  | 	sasl.oauthbearer.token.endpoint.url = null
flink-identity-1  | 	security.protocol = PLAINTEXT
flink-identity-1  | 	security.providers = null
flink-identity-1  | 	send.buffer.bytes = 131072
flink-identity-1  | 	socket.connection.setup.timeout.max.ms = 30000
flink-identity-1  | 	socket.connection.setup.timeout.ms = 10000
flink-identity-1  | 	ssl.cipher.suites = []
flink-identity-1  | 	ssl.enabled.protocols = [TLSv1.2, TLSv1.3]
flink-identity-1  | 	ssl.endpoint.identification.algorithm = https
flink-identity-1  | 	ssl.engine.factory.class = null
flink-identity-1  | 	ssl.key.password = null
flink-identity-1  | 	ssl.keymanager.algorithm = SunX509
flink-identity-1  | 	ssl.keystore.certificate.chain = null
flink-identity-1  | 	ssl.keystore.key = null
flink-identity-1  | 	ssl.keystore.location = null
flink-identity-1  | 	ssl.keystore.password = null
flink-identity-1  | 	ssl.keystore.type = JKS
flink-identity-1  | 	ssl.protocol = TLSv1.3
flink-identity-1  | 	ssl.provider = null
flink-identity-1  | 	ssl.secure.random.implementation = null
flink-identity-1  | 	ssl.trustmanager.algorithm = PKIX
flink-identity-1  | 	ssl.truststore.certificates = null
flink-identity-1  | 	ssl.truststore.location = null
flink-identity-1  | 	ssl.truststore.password = null
flink-identity-1  | 	ssl.truststore.type = JKS
flink-identity-1  | 
flink-identity-1  | [flink-pekko.actor.default-dispatcher-7] INFO org.apache.flink.runtime.jobmaster.JobMaster - Connecting to ResourceManager pekko://flink/user/rpc/resourcemanager_1(ba4069bbbf05074160a2c4a69d304099)
flink-identity-1  | [flink-pekko.actor.default-dispatcher-7] INFO org.apache.flink.runtime.jobmaster.JobMaster - Resolved ResourceManager address, beginning registration
flink-identity-1  | [flink-pekko.actor.default-dispatcher-7] INFO org.apache.flink.runtime.resourcemanager.StandaloneResourceManager - Registering job manager acf60840478389e9e049d6ad084b4fc6@pekko://flink/user/rpc/jobmanager_3 for job 6aa832ae04026d2d3cf31b5d0d655ba6.
flink-identity-1  | [flink-pekko.actor.default-dispatcher-6] INFO org.apache.flink.runtime.resourcemanager.StandaloneResourceManager - Registered job manager acf60840478389e9e049d6ad084b4fc6@pekko://flink/user/rpc/jobmanager_3 for job 6aa832ae04026d2d3cf31b5d0d655ba6.
flink-identity-1  | [flink-pekko.actor.default-dispatcher-7] INFO org.apache.flink.runtime.jobmaster.JobMaster - JobManager successfully registered at ResourceManager, leader id: ba4069bbbf05074160a2c4a69d304099.
